evt LepGood1_charge LepGood2_charge LepGood1_convVeto LepGood2_convVeto LepGood1_lostHits LepGood2_lostHits LepGood1_mvaTTH LepGood2_mvaTTH LepGood1_pdgId LepGood2_pdgId LepGood1_pt LepGood2_pt LepGood1_tightCharge LepGood2_tightCharge met_pt mhtJet25 minMllAFAS nBJetLoose25 nBJetMedium25 nJet25 nLepGood10
116899 -1 1 1 1 0 0 0.703826189041 0.595188856125 11 -11 39.9651603699 19.5645465851 2 2 37.5697212219 24.6825084686 95.3571929932 5 5 8 2
117403 -1 1 1 1 0 0 0.955563127995 0.830377519131 11 -11 205.866516113 70.6494750977 2 2 260.037811279 135.219009399 71.0992507935 2 2 4 3
117408 -1 -1 1 1 0 0 0.665895700455 0.791204750538 11 11 32.8248214722 28.4654045105 2 2 97.5420074463 139.492996216 77.9771957397 1 1 3 2
117498 1 1 1 1 0 0 0.873358428478 -0.550171136856 -11 -11 131.450180054 13.0893726349 2 2 97.7310714722 94.5613555908 38.6130027771 1 0 2 2
127415 -1 1 1 1 0 0 0.849018394947 -0.703833043575 11 -11 52.4035224915 44.5926208496 2 2 62.8008117676 43.8038330078 92.2498931885 4 1 5 3
127418 1 -1 1 1 0 0 -0.678415894508 0.935491502285 -11 11 154.039093018 80.9245071411 2 2 94.5901947021 193.312667847 320.701263428 3 2 5 2
127439 -1 1 1 1 0 0 0.913589835167 0.815923750401 11 -11 47.3960075378 44.7256774902 2 2 298.352813721 291.947540283 105.080383301 5 3 7 2
127490 1 -1 1 1 0 0 -0.122006647289 -0.261357784271 -11 11 54.2922859192 21.2841567993 2 2 38.4631729126 155.093643188 86.9006576538 2 1 7 2
127510 -1 1 1 1 0 0 0.239013999701 0.957025706768 11 -11 161.548568726 56.8369178772 2 2 163.681533813 139.591964722 211.687423706 4 2 6 2
127544 1 1 1 1 0 0 0.80111604929 0.701371192932 -11 -11 70.2349700928 42.7132606506 2 2 34.7444915771 66.0361404419 106.388694763 3 3 7 2
127545 -1 1 1 1 0 0 0.894963562489 0.608337044716 11 -11 109.270599365 53.4961471558 2 2 133.586502075 120.943099976 60.3416976929 2 0 5 3
127546 1 1 1 1 0 0 0.925411105156 -0.934101819992 -11 -11 76.6294326782 65.4638137817 2 2 79.9057617188 154.513092041 41.2714538574 2 1 4 3
139205 1 1 1 1 0 0 0.804011046886 -0.53431391716 -11 -11 57.5420379639 10.3858909607 2 2 60.6157264709 74.5808639526 47.7911338806 1 1 6 2
139212 -1 1 1 1 0 0 0.783185243607 0.33918890357 11 -11 58.5940437317 22.0140094757 2 2 176.137817383 156.460662842 78.3296432495 3 3 6 2
139224 1 -1 1 1 0 0 0.136385396123 0.85859978199 -11 11 85.4459838867 82.5740432739 2 2 78.1453018188 31.4516201019 184.478347778 1 1 3 2
139279 -1 1 1 1 0 0 0.943296790123 0.934918165207 11 -11 43.0536308289 35.8613815308 2 2 218.441345215 130.398681641 96.5549163818 4 3 6 2
140321 1 -1 1 1 0 0 0.651957213879 0.66558778286 -11 11 37.2438812256 28.8830852509 2 2 298.186767578 262.512512207 29.5299777985 3 2 6 2
140344 1 -1 1 1 0 0 0.673022687435 0.926422774792 -11 11 76.8871231079 32.0014076233 2 2 111.012626648 88.914390564 43.0936698914 1 1 5 3
140387 -1 -1 1 1 0 0 0.911152303219 0.509294390678 11 11 38.8986053467 8.99389076233 2 2 214.612823486 213.249465942 30.7056407928 5 3 8 1
140398 -1 1 1 1 0 0 -0.178036928177 0.787903010845 11 -11 71.0295333862 31.4119777679 2 2 126.30607605 30.3518657684 83.662940979 2 2 3 2
142901 1 -1 1 1 0 0 0.939414024353 0.96846985817 -11 11 67.486289978 39.8858070374 2 2 97.3621826172 111.42880249 79.3672180176 2 2 3 2
